,original_title,year_x,composer,time_stamp,type,volume,length,imdb_title_id,title,year_y,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
88,Home Alone,1990,John Williams,0:06:58,2,1,:06,tt0099785,"Mamma, ho perso l'aereo",1990,1/18/91,"Comedy, Family",103,USA,English,Chris Columbus,John Hughes,Hughes Entertainment,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, Roberts Blossom, Catherine O'Hara, Angela Goethals, Devin Ratray, Gerry Bamman, Hillary Wolf, John Candy, Larry Hankin, Michael C. Maronna, Kristin Minter, Diana Rein",An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,7.6,451566,"$18,000,000 ","$285,761,243 ","$477,063,114 ",63,422,135
83,I Confess,1953,Dmitri Tiomkin,0:01:55,1,6,,tt0045897,Io confesso,1953,11/14/53,"Crime, Drama, Thriller",95,"USA, Canada","English, French, Italian, German",Alfred Hitchcock,"George Tabori, William Archibald",Warner Bros.,"Montgomery Clift, Anne Baxter, Karl Malden, Brian Aherne, O.E. Hasse, Roger Dann, Dolly Haas, Charles Andre","A priest, who comes under suspicion for murder, cannot clear his name without breaking the seal of the confessional.",7.3,18637,,"$2,000,000 ",,,124,83
92,Indiana Jones and the Kingdom of the Crystal Skull,2008,John Williams,0:04:18,2,1,:17,tt0367882,Indiana Jones e il regno del teschio di cristallo,2008,5/23/08,"Action, Adventure",122,USA,"English, German, Russian",Steven Spielberg,"David Koepp, George Lucas",Paramount Pictures,"Harrison Ford, Cate Blanchett, Karen Allen, Shia LaBeouf, Ray Winstone, John Hurt, Jim Broadbent, Igor Jijikine, Dimitri Diatchenko, Ilia Volok, Emmanuel Todorov, Pasha D. Lychnikoff, Andrew Divoff, Venya Manzyuk, Alan Dale","In 1957, archaeologist and adventurer Dr. Henry ""Indiana"" Jones, Jr. is called back into action and becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.",6.1,417120,"$185,000,000 ","$317,101,119 ","$790,653,942 ",65,2173,470
84,Iron Man Three,2013,Brian Tyler,0:24:41,,1,:39,tt1300854,Iron Man 3,2013,4/24/13,"Action, Adventure, Sci-Fi",130,USA,English,Shane Black,"Drew Pearce, Shane Black",Marvel Studios,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce, Rebecca Hall, Jon Favreau, Ben Kingsley, James Badge Dale, Stephanie Szostak, Paul Bettany, William Sadler, Dale Dickey, Ty Simpkins, Miguel Ferrer, Xueqi Wang","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",7.2,739816,"$200,000,000 ","$409,013,994 ","$1,214,811,252 ",62,1322,643
82,It's a Wonderful Life,1946,Dmitri Tiomkin,,3-Jan,1,:34,tt0038650,La vita è meravigliosa,1946,3/11/48,"Drama, Family, Fantasy",130,USA,"English, French",Frank Capra,"Frances Goodrich, Albert Hackett",Liberty Films (II),"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers, Beulah Bondi, Frank Faylen, Ward Bond, Gloria Grahame, H.B. Warner, Frank Albertson, Todd Karns, Samuel S. Hinds, Mary Treen, Virginia Patton",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,8.6,388310,"$3,180,000 ",,"$6,130,720 ",89,948,177
89,Jurassic Park,1993,John Williams,"01:18:30, 01:41:57",3,1,:49,tt0107290,Jurassic Park,1993,9/17/93,"Action, Adventure, Sci-Fi",127,USA,"English, Spanish",Steven Spielberg,"Michael Crichton, Michael Crichton",Universal Pictures,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Bob Peck, Martin Ferrero, BD Wong, Joseph Mazzello, Ariana Richards, Samuel L. Jackson, Wayne Knight, Gerald R. Molen, Miguel Sandoval, Cameron Thor, Christopher John Fields",A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,8.1,846021,"$63,000,000 ","$404,214,720 ","$1,033,758,854 ",68,1157,350
16,Justice League,2017,Danny Elfman,0:25:25,3,5,,tt0974015,Justice League,2017,11/16/17,"Action, Adventure, Fantasy",120,"USA, Canada, UK","English, Irish, Russian, Icelandic",Zack Snyder,"Jerry Siegel, Joe Shuster",Warner Bros.,"Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot, Ezra Miller, Jason Momoa, Ray Fisher, Jeremy Irons, Diane Lane, Connie Nielsen, J.K. Simmons, Ciarán Hinds, Amber Heard, Joe Morton, Lisa Loven Kongsli","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.",6.3,371025,"$300,000,000 ","$229,024,295 ","$681,871,991 ",45,2013,463
78,Legend,1985,Tangerine Dream,0:21:14,2,5,,tt0089469,Legend,1985,4/18/86,"Adventure, Fantasy, Romance",94,USA,"English, Italian",Ridley Scott,William Hjortsberg,Legend Production Company,"Tom Cruise, Mia Sara, Tim Curry, David Bennent, Alice Playten, Billy Barty, Cork Hubbert, Peter O'Farrell, Kiran Shah, Annabelle Lanyon, Robert Picardo, Tina Martin, Ian Longmur, Michael Crane, Liz Gilbert",A young man must stop the Lord of Darkness from destroying daylight and marrying the woman he loves.,6.5,58567,"$24,500,000 ","$15,502,112 ","$15,502,112 ",30,325,129
14,Mars Attacks!,1996,Danny Elfman,0:02:41,3,"1, 3b",:20,tt0116996,Mars Attacks!,1996,3/7/97,"Comedy, Sci-Fi",106,USA,"English, French",Tim Burton,"Len Brown, Woody Gelman",Tim Burton Productions,"Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan, Danny DeVito, Martin Short, Sarah Jessica Parker, Michael J. Fox, Rod Steiger, Tom Jones, Lukas Haas, Natalie Portman, Jim Brown, Lisa Marie, Sylvia Sidney",Earth is invaded by Martians with unbeatable weapons and a cruel sense of humor.,6.3,206535,"$70,000,000 ","$37,771,017 ","$101,371,017 ",52,448,141
46,Metropolis,1927,Gottfried Huppertz,0:32:34,3,1,:27,tt0017136,Metropolis,1927,10/1/28,"Drama, Sci-Fi",153,Germany,German,Fritz Lang,"Thea von Harbou, Thea von Harbou",Universum Film (UFA),"Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp, Theodor Loos, Erwin Biswanger, Heinrich George, Brigitte Helm","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",8.3,156076,DEM 6000000,"$1,236,166 ","$1,349,711 ",98,495,208
24,Mishima: A Life in Four Chapters,1985,Phillip Glass,,3,4,,tt0089603,Mishima: Una vita in quattro capitoli,1985,9/20/85,"Biography, Drama",120,"USA, Japan","Japanese, English",Paul Schrader,"Paul Schrader, Leonard Schrader",Zoetrope Studios,"Ken Ogata, Masayuki Shionoya, Hiroshi Mikami, Junya Fukuda, Shigeto Tachihara, Junkichi Orimoto, Naoko Ôtani, Gô Rijû, Masato Aizawa, Yuki Nagahara, Kyûzô Kobayashi, Yuki Kitazume, Haruko Katô, Yasosuke Bando, Hisako Manda",A fictionalized account in four chapters of the life of celebrated Japanese writer,8,8630,"$5,000,000 ","$437,547 ","$569,996 ",81,38,85
19,Mission: Impossible - Ghost Protocol,2011,Michael Giacchino,0:29:59,3b,,:13,tt1229238,Mission: Impossible - Protocollo fantasma,2011,1/27/12,"Action, Adventure, Thriller",132,"USA, United Arab Emirates, Czech Republic, India, Canada","English, Russian, French, Arabic, Swedish",Brad Bird,"Bruce Geller, Josh Appelbaum",Paramount Pictures,"Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner, Michael Nyqvist, Vladimir Mashkov, Samuli Edelmann, Ivan Shvedoff, Anil Kapoor, Léa Seydoux, Josh Holloway, Pavel Kríz, Miraj Grbic, Ilia Volok, Goran Navojec","The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",7.4,449833,"$145,000,000 ","$209,397,903 ","$694,713,380 ",73,582,459
34,Mulan,1998,Jerry Goldsmith,0:55:54,2,3a,,tt0120762,Mulan,1998,12/4/98,"Animation, Adventure, Family",88,USA,"English, Mandarin","Tony Bancroft, Barry Cook","Robert D. San Souci, Rita Hsiao",Walt Disney Animation Studios,"Miguel Ferrer, Harvey Fierstein, Freda Foh Shen, June Foray, James Hong, Miriam Margolyes, Pat Morita, Eddie Murphy, Marni Nixon, Soon-Tek Oh, Donny Osmond, Lea Salonga, James Shigeta, George Takei, Jerry Tondo","To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",7.6,244506,"$90,000,000 ","$120,620,254 ","$304,320,254 ",71,321,142
7,Onward,2020,"Jeff Danna, Mychael Danna",1:06:00,,"2, 3a",2,tt7146812,Onward - Oltre la magia,2020,8/19/20,"Animation, Adventure, Comedy",102,USA,English,Dan Scanlon,"Dan Scanlon, Keith Bunin",Walt Disney Pictures,"Tom Holland, Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer, Mel Rodriguez, Kyle Bornheimer, Lena Waithe, Ali Wong, Grey Griffin, Tracey Ullman, Wilmer Valderrama, George Psarras, John Ratzenberger",Two elven brothers embark on a quest to bring their father back for one day.,7.4,76905,,"$61,555,145 ","$136,037,267 ",61,617,296
98,Pirates of the Caribbean: At World's End,2007,Hans Zimmer,2:34:00,3,4,,tt0449088,Pirati dei Caraibi - Ai confini del mondo,2007,5/23/07,"Action, Adventure, Fantasy",169,USA,English,Gore Verbinski,"Ted Elliott, Terry Rossio",Walt Disney Pictures,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport, Bill Nighy, Jonathan Pryce, Lee Arenberg, Mackenzie Crook, Kevin McNally, David Bailie, Stellan Skarsgård, Tom Hollander, Naomie Harris, Martin Klebba","Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",7.1,585229,"$300,000,000 ","$309,420,425 ","$960,996,492 ",50,1296,327
94,Pirates of the Caribbean: Dead Men Tell No Tales,2017,Geoff Zanelli,0:10:30,3-Feb,1,:10,tt1790809,Pirati dei Caraibi - La vendetta di Salazar,2017,5/24/17,"Action, Adventure, Fantasy",129,"USA, Australia, UK, Canada","English, Spanish","Joachim Rønning, Espen Sandberg","Jeff Nathanson, Jeff Nathanson",Walt Disney Pictures,"Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites, Kaya Scodelario, Kevin McNally, Golshifteh Farahani, David Wenham, Stephen Graham, Angus Barnett, Martin Klebba, Adam Brown, Giles New, Orlando Bloom, Keira Knightley",Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.,6.6,254613,"$230,000,000 ","$172,558,876 ","$794,878,815 ",39,650,413
99,Pirates of the Caribbean: On Stranger Tides,2011,Hans Zimmer,1:55:00,1,4,,tt1298650,Pirati dei Caraibi - Oltre i confini del mare,2011,5/18/11,"Action, Adventure, Fantasy",137,"USA, UK","English, Spanish",Rob Marshall,"Ted Elliott, Terry Rossio",Walt Disney Pictures,"Johnny Depp, Penélope Cruz, Geoffrey Rush, Ian McShane, Kevin McNally, Sam Claflin, Astrid Bergès-Frisbey, Stephen Graham, Keith Richards, Richard Griffiths, Greg Ellis, Damian O'Hare, Óscar Jaenada, Anton Lesser, Roger Allam","Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",6.6,472435,"$250,000,000 ","$241,071,802 ","$1,045,713,802 ",45,536,468
31,Poltergeist,1982,Jerry Goldsmith,1:44:01,,2,2,tt0084516,Poltergeist - Demoniache presenze,1982,11/11/82,"Horror, Thriller",114,USA,English,Tobe Hooper,"Steven Spielberg, Michael Grais",Metro-Goldwyn-Mayer (MGM),"Craig T. Nelson, JoBeth Williams, Beatrice Straight, Dominique Dunne, Oliver Robins, Heather O'Rourke, Michael McManus, Virginia Kiser, Martin Casella, Richard Lawson, Zelda Rubinstein, James Karen, Lou Perryman, Clair E. Leucart, Dirk Blocker",A family's home is haunted by a host of demonic ghosts.,7.3,139180,"$10,700,000 ","$77,142,388 ","$77,142,388 ",79,401,253
74,Predator,1987,Alan Silvestri,1:15:00,2b,5,,tt0093773,Predator,1987,8/22/87,"Action, Adventure, Sci-Fi",107,"USA, Mexico","English, Spanish, Russian",John McTiernan,"Jim Thomas, John Thomas",Twentieth Century Fox,"Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo, Bill Duke, Jesse Ventura, Sonny Landham, Richard Chaves, R.G. Armstrong, Shane Black, Kevin Peter Hall",A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,7.8,364725,"$15,000,000 ","$59,735,548 ","$98,399,956 ",45,795,268
40,Psycho,1960,Bernard Herrmann,0:11:50,3,5,,tt0054215,Psyco,1960,10/28/60,"Horror, Mystery, Thriller",109,USA,English,Alfred Hitchcock,"Joseph Stefano, Robert Bloch",Shamley Productions,"Anthony Perkins, Vera Miles, John Gavin, Janet Leigh, Martin Balsam, John McIntire, Simon Oakland, Frank Albertson, Patricia Hitchcock, Vaughn Taylor, Lurene Tuttle, John Anderson, Mort Mills","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",8.5,586765,"$806,947 ","$32,000,000 ","$32,008,644 ",97,1284,236
76,Ready Player One,2018,Alan Silvestri,0:57:51,,2,1,tt1677720,Ready Player One,2018,3/28/18,"Action, Adventure, Sci-Fi",140,"USA, India",English,Steven Spielberg,"Zak Penn, Ernest Cline",Warner Bros.,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe, T.J. Miller, Simon Pegg, Mark Rylance, Philip Zhao, Win Morisaki, Hannah John-Kamen, Ralph Ineson, Susan Lynch, Clare Higgins, Laurence Spellman, Perdita Weeks","When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",7.5,353913,"$175,000,000 ","$137,690,172 ","$582,893,671 ",64,2009,582
20,Rogue One,2016,Michael Giacchino,"01:12:48, 01:50:57",2,1,":5, :32",tt3748528,Rogue One: A Star Wars Story,2016,12/15/16,"Action, Adventure, Sci-Fi",133,USA,English,Gareth Edwards,"Chris Weitz, Tony Gilroy",Lucasfilm,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen, Wen Jiang, Ben Mendelsohn, Guy Henry, Forest Whitaker, Riz Ahmed, Mads Mikkelsen, Jimmy Smits, Alistair Petrie, Genevieve O'Reilly, Ben Daniels, Paul Kasey",The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,7.8,538641,"$200,000,000 ","$532,177,324 ","$1,056,057,720 ",65,1781,715
4,Scream 2,1997,Marco Beltrami,0:40:07,2,5,,tt0120082,Scream 2,1997,9/10/98,"Horror, Mystery",120,USA,English,Wes Craven,"Kevin Williamson, Kevin Williamson",Dimension Films,"Jada Pinkett Smith, Omar Epps, Paulette Patterson, Rasila Schroeder, Heather Graham, Roger Jackson, Peter Deming, Molly Gross, Rebecca McFarland, Neve Campbell, Elise Neal, Liev Schreiber, Kevin Williamson, Sandy Heddings, Dave Allen Clark","Two years after the first series of murders, as Sidney acclimates to college life, someone donning the Ghostface costume begins a new string of killings.",6.2,153698,"$24,000,000 ","$101,363,301 ","$172,363,301 ",63,523,210
35,Shrek,2001,Harry Gregson-Williams,0:41:30,,"2, 3a",3,tt0126029,Shrek,2001,6/15/01,"Animation, Adventure, Comedy",90,USA,English,"Andrew Adamson, Vicky Jenson","William Steig, Ted Elliott",DreamWorks Animation,"Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Vincent Cassel, Peter Dennis, Clive Pearse, Jim Cummings, Bobby Block, Chris Miller, Cody Cameron, Kathleen Freeman, Michael Galasso, Christopher Knights, Simon J. Smith","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",7.8,600116,"$60,000,000 ","$267,665,011 ","$487,769,799 ",84,1071,168
36,Shrek,2001,John Powell,0:41:30,,"2, 3a",3,tt0126029,Shrek,2001,6/15/01,"Animation, Adventure, Comedy",90,USA,English,"Andrew Adamson, Vicky Jenson","William Steig, Ted Elliott",DreamWorks Animation,"Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Vincent Cassel, Peter Dennis, Clive Pearse, Jim Cummings, Bobby Block, Chris Miller, Cody Cameron, Kathleen Freeman, Michael Galasso, Christopher Knights, Simon J. Smith","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",7.8,600116,"$60,000,000 ","$267,665,011 ","$487,769,799 ",84,1071,168
44,Signs,2002,James Newton Howard,1:06:31,3,5,,tt0286106,Signs,2002,10/17/02,"Drama, Mystery, Sci-Fi",106,USA,"English, Portuguese",M. Night Shyamalan,M. Night Shyamalan,Touchstone Pictures,"Mel Gibson, Joaquin Phoenix, Rory Culkin, Abigail Breslin, Cherry Jones, M. Night Shyamalan, Patricia Kalember, Ted Sutton, Merritt Wever, Lanny Flaherty, Marion McCorry, Michael Showalter, Kevin Pires, Clifford David, Rhonda Overby",A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,6.7,331801,"$72,000,000 ","$227,966,634 ","$408,247,917 ",59,2417,227
49,Sleeping Beauty,1959,"Jack Lawrence, Sammy Fain",0:30:00,2b,3a,,tt0053285,La bella addormentata nel bosco,1959,12/1/59,"Animation, Family, Fantasy",75,USA,English,"Clyde Geronimi, Les Clark","Erdman Penner, Charles Perrault",Walt Disney Animation Studios,"Mary Costa, Bill Shirley, Eleanor Audley, Verna Felton, Barbara Luddy, Barbara Jo Allen, Taylor Holmes, Bill Thompson","After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies.",7.2,132245,"$6,000,000 ","$51,600,000 ","$51,600,000 ",85,193,109
21,Star Trek Beyond,2016,Michael Giacchino,1:28:08,3,5,,tt2660888,Star Trek: Beyond,2016,7/21/16,"Action, Adventure, Sci-Fi",122,"USA, China, United Arab Emirates, Canada",English,Justin Lin,"Simon Pegg, Doug Jung",Paramount Pictures,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana, Simon Pegg, John Cho, Anton Yelchin, Idris Elba, Sofia Boutella, Joe Taslim, Lydia Wilson, Deep Roy, Melissa Roxburgh, Anita Brown, Doug Jung","The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.",7.1,223293,"$185,000,000 ","$158,848,340 ","$343,471,816 ",68,833,480
22,Superstition,1982,David Gibney,0:04:05,1,6,,tt0084739,La casa di Mary,1982,3/12/82,Horror,85,"Canada, USA",English,James W. Roberson,"Galen Thompson, Michael O. Sajbel",Carolco Entertainment,"James Houghton, Albert Salmi, Lynn Carlin, Larry Pennell, Jacquelyn Hyde, Robert Symonds, Heidi Bohay, Maylo McCaslin, Carole Goldman, Stacy Keach Sr., Kim Marie, Billy Jayne, Johnny Doran, Bennett Liss, Joshua Cadman",A witch put to death in 1692 swears vengeance on her persecutors and returns to the present day to punish their descendants.,5.8,2492,,,,,71,59
87,Team America: World Police,2004,Harry Gregson-Williams,1:06:00,2,6,,tt0372588,Team America,2004,5/13/05,"Action, Comedy",98,"USA, Germany","English, French, Klingon, Korean, Arabic",Trey Parker,"Trey Parker, Matt Stone",Paramount Pictures,"Trey Parker, Matt Stone, Kristen Miller, Masasa Moyo, Daran Norris, Phil Hendrie, Maurice LaMarche, Chelsea Marguerite, Jeremy Shada, Fred Tatasciore","Popular Broadway actor Gary Johnston is recruited by the elite counter-terrorism organization Team America: World Police. As the world begins to crumble around him, he must battle with terrorists, celebrities and falling in love.",7.2,157558,"$32,000,000 ","$32,786,074 ","$50,826,898 ",64,721,230
2,Terminator Genisys,2015,Lorne Balfe,1:27:03,3b,5,,tt1340138,Terminator Genisys,2015,7/9/15,"Action, Adventure, Sci-Fi",126,"USA, Canada",English,Alan Taylor,"Laeta Kalogridis, Patrick Lussier",Paramount Pictures,"Arnold Schwarzenegger, Jason Clarke, Emilia Clarke, Jai Courtney, J.K. Simmons, Dayo Okeniyi, Matt Smith, Courtney B. Vance, Byung-hun Lee, Michael Gladis, Sandrine Holt, Wayne Bastrup, Gregory Alan Williams, Otto Sanchez, Matty Ferraro","When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline.",6.3,254807,"$155,000,000 ","$89,760,956 ","$440,603,537 ",38,1062,517
15,Terminator Salvation,2009,Danny Elfman,0:59:42,3,5,,tt0438488,Terminator Salvation,2009,6/5/09,"Action, Adventure, Sci-Fi",115,"USA, Germany, UK, Italy","English, Italian",McG,"John Brancato, Michael Ferris",The Halcyon Company,"Christian Bale, Sam Worthington, Moon Bloodgood, Helena Bonham Carter, Anton Yelchin, Jadagrace, Bryce Dallas Howard, Common, Jane Alexander, Michael Ironside, Ivan G'Vera, Chris Browning, Dorian Nkono, Beth Bailey, Victor J. Ho","In 2018, a mysterious new weapon in the war against the machines, half-human and half-machine, comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on, and can he be trusted?",6.5,339181,"$200,000,000 ","$125,322,469 ","$371,353,001 ",49,1095,436
1,The Bone Collector,1999,Craig Armstrong,1:48:59,3b,2,,tt0145681,Il collezionista di ossa,1999,3/3/00,"Crime, Drama, Mystery",118,"USA, Canada",English,Phillip Noyce,"Jeffery Deaver, Jeremy Iacone",Columbia Pictures,"Denzel Washington, Angelina Jolie, Queen Latifah, Michael Rooker, Michael McGlone, Luis Guzmán, Leland Orser, John Benjamin Hickey, Bobby Cannavale, Ed O'Neill, Richard Zeman, Olivia Birkelund, Gary Swanson, James Bulleit, Frank Fontaine",A quadriplegic ex-homicide detective and his partner try to track down a serial killer who is terrorizing New York City.,6.7,151519,"$73,000,000 ","$66,518,655 ","$151,493,655 ",45,425,77
45,The Bourne Legacy,2012,James Newton Howard,0:01:15,3,6,,tt1194173,The Bourne Legacy,2012,9/7/12,"Action, Adventure, Thriller",135,"USA, Japan","English, Russian, Filipino, Ukrainian",Tony Gilroy,"Tony Gilroy, Dan Gilroy",Universal Pictures,"Jeremy Renner, Scott Glenn, Stacy Keach, Edward Norton, Donna Murphy, Michael Chernus, Corey Stoll, Alice Gainer, Prue Lewarne, Howard Leader, James Joseph O'Neil, Rachel Weisz, Tony Guida, Sonnie Brown, Neil Brooks Cunningham","An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films.",6.7,280665,"$125,000,000 ","$113,203,870 ","$276,144,750 ",61,563,454
73,The Bucket List,2007,Marc Shaiman,0:06:23,2b,6,,tt0825232,Non è mai troppo tardi,2007,1/25/08,"Comedy, Drama",97,USA,English,Rob Reiner,Justin Zackham,Warner Bros.,"Jack Nicholson, Morgan Freeman, Sean Hayes, Beverly Todd, Rob Morrow, Alfonso Freeman, Rowena King, Annton Berry Jr., Verda Bridges, Destiny Brownridge, Brian Copeland, Ian Anthony Dale, Jennifer Defrancisco, Angela Gardner, Noel Gugliemi",Two terminally ill men escape from a cancer ward and head off on a road trip with a wish list of to-dos before they die.,7.4,226825,"$45,000,000 ","$93,466,502 ","$175,372,502 ",42,368,203
71,The Car,1977,Leonard Rosenman,0:00:17,1,3b,,tt0075809,La macchina nera,1977,1/19/78,"Action, Horror, Mystery",96,USA,English,Elliot Silverstein,"Dennis Shryack, Michael Butler",Universal Pictures,"James Brolin, Kathleen Lloyd, John Marley, R.G. Armstrong, John Rubinstein, Elizabeth Thompson, Roy Jenson, Kim Richards, Kyle Richards, Kate Murtagh, Robert Phillips, Doris Dowling, Henry O'Brien, Eddie Little Sky, Lee McLaughlin","A small desert town is terrorized by a powerful, seemingly possessed car, and the local sheriff may be the only one who can stop it.",6.2,8981,,,,,150,152
95,The Lion King,1994,Hans Zimmer,,2,"1, 3a",:07,tt0110357,The Lion King,1994,11/25/94,"Animation, Adventure, Drama",88,USA,"English, Swahili, Xhosa, Zulu","Roger Allers, Rob Minkoff","Irene Mecchi, Jonathan Roberts",Walt Disney Pictures,"Rowan Atkinson, Matthew Broderick, Niketa Calame-Harris, Jim Cummings, Whoopi Goldberg, Robert Guillaume, Jeremy Irons, James Earl Jones, Moira Kelly, Nathan Lane, Zoe Leader, Cheech Marin, Ernie Sabella, Madge Sinclair, Jonathan Taylor Thomas","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",8.5,917248,"$45,000,000 ","$422,783,777 ","$968,511,805 ",88,1028,228
8,The Matrix Reloaded,2003,Don Davis,1:12:12,,2,3b,tt0234215,Matrix Reloaded,2003,5/23/03,"Action, Sci-Fi",138,USA,"English, French","Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski",Warner Bros.,"Ray Anthony, Christine Anu, Andy Arness, Alima Ashton-Sheibu, Helmut Bakaitis, Steve Bastoni, Don Battee, Monica Bellucci, Daniel Bernhardt, Valerie Berry, Ian Bliss, Liliana Bogatko, Michael Budd, Stoney Burke, Kelly Butler","Neo and his allies race against time before the machines discover the city of Zion and destroy it. While seeking the truth about the Matrix, Neo must save Trinity from a dark fate within his dreams.",7.2,506036,"$150,000,000 ","$281,576,461 ","$741,847,890 ",62,2788,288
27,The Mephisto Waltz,1971,Jerry Goldsmith,0:00:31,1,3b,,tt0067419,La macchia della morte,1971,6/11/71,"Horror, Mystery, Thriller",115,USA,"English, French",Paul Wendkos,"Ben Maddow, Fred Mustard Stewart",Quinn Martin Productions (QM),"Alan Alda, Jacqueline Bisset, Barbara Parkins, Bradford Dillman, William Windom, Kathleen Widdoes, Pamelyn Ferdin, Curd Jürgens, Curt Lowens, Gregory Morton, Janee Michelle, Lilyan Chauvin, Khigh Dhiegh, Alberto Morin, Berry Kroeger","An old, dying satanist arranges to transfer his soul into the body of a young concert pianist.",6.1,2244,,,,,48,40
64,The Mission,1986,Ennio Morricone,32:56:00,1,1,:10,tt0091530,Mission,1986,10/10/86,"Adventure, Drama, History",125,"UK, France","English, Guarani, Spanish, Latin",Roland Joffé,Robert Bolt,Warner Bros.,"Robert De Niro, Jeremy Irons, Ray McAnally, Aidan Quinn, Cherie Lunghi, Ronald Pickup, Chuck Low, Liam Neeson, Bercelio Moya, Sigifredo Ismare, Asuncion Ontiveros, Alejandrino Moya, Daniel Berrigan, Rolf Gray, Álvaro Guerrero",Eighteenth-century Spanish Jesuits try to protect a remote South American tribe in danger of falling under the rule of pro-slavery Portugal.,7.4,54785,"$24,500,000 ","$17,218,023 ","$17,502,499 ",55,219,65
13,The Nightmare Before Christmas,1993,Danny Elfman,,3,"1, 3a",:37,tt0107688,Nightmare Before Christmas,1993,12/5/94,"Animation, Family, Fantasy",76,USA,English,Henry Selick,"Tim Burton, Michael McDowell",Touchstone Pictures,"Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey, Glenn Shadix, Paul Reubens, Ken Page, Edward Ivory, Susan McBride, Debi Durst, Greg Proops, Kerry Katz, Randy Crenshaw, Sherwood Ball, Carmen Twillie","Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",8,285261,"$18,000,000 ","$75,082,668 ","$89,140,058 ",82,527,238
